time,person_id,angry,disgust,fear,happy,sad,surprise,neutral
0:02:05,0,0.11,0.00,0.23,0.13,0.23,0.11,0.18
0:02:07,0,0.00,0.00,0.00,0.98,0.00,0.02,0.00
0:02:08,0,0.00,0.00,0.00,0.99,0.00,0.01,0.00
0:02:09,0,0.00,0.00,0.00,0.99,0.00,0.01,0.00
0:02:10,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00
0:02:10,0,0.00,0.00,0.00,0.99,0.00,0.01,0.00
0:02:14,0,0.03,0.00,0.03,0.65,0.02,0.22,0.06
0:02:15,0,0.01,0.00,0.08,0.72,0.05,0.09,0.04
0:02:16,0,0.04,0.00,0.10,0.32,0.03,0.47,0.03
0:02:22,0,0.00,0.00,0.00,0.98,0.00,0.01,0.00
0:02:23,0,0.04,0.00,0.00,0.93,0.01,0.01,0.02
0:02:23,1,0.01,0.00,0.00,0.24,0.01,0.00,0.75
0:02:24,0,0.05,0.00,0.15,0.69,0.05,0.03,0.03
0:02:24,1,0.00,0.00,0.00,0.15,0.00,0.00,0.84
0:02:24,0,0.09,0.00,0.12,0.69,0.06,0.02,0.03
0:02:24,1,0.00,0.00,0.00,0.95,0.00,0.00,0.05
0:02:25,0,0.00,0.00,0.00,0.99,0.00,0.01,0.00
0:02:26,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00
0:02:26,1,0.00,0.00,0.00,0.99,0.00,0.00,0.01
0:02:27,0,0.00,0.00,0.00,0.99,0.00,0.00,0.00
0:02:28,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00
0:02:29,0,0.00,0.00,0.00,0.99,0.00,0.01,0.00
0:02:29,1,0.01,0.00,0.00,0.00,0.01,0.00,0.98
0:02:30,0,0.00,0.00,0.00,1.00,0.00,0.00,0.00
0:02:30,1,0.01,0.00,0.00,0.00,0.02,0.00,0.96
0:02:31,0,0.01,0.00,0.00,0.96,0.01,0.01,0.01
0:02:31,1,0.04,0.00,0.00,0.00,0.02,0.00,0.94
0:02:35,0,0.00,0.00,0.00,0.99,0.00,0.00,0.00
0:02:35,1,0.05,0.00,0.05,0.01,0.05,0.02,0.82
0:02:36,0,0.19,0.00,0.11,0.02,0.26,0.00,0.43
0:02:36,1,0.00,0.00,0.00,0.97,0.00,0.03,0.00
0:02:36,2,0.00,0.00,0.01,0.45,0.04,0.00,0.50
0:02:37,0,0.07,0.00,0.04,0.11,0.46,0.01,0.32
0:02:37,1,0.00,0.00,0.00,0.98,0.00,0.02,0.00
0:02:38,0,0.43,0.00,0.07,0.00,0.31,0.07,0.11
0:02:38,1,0.06,0.00,0.05,0.13,0.11,0.00,0.65
0:02:40,0,0.04,0.00,0.05,0.00,0.01,0.88,0.03
0:02:40,1,0.00,0.00,0.00,0.96,0.00,0.01,0.02
0:02:40,2,0.00,0.00,0.00,1.00,0.00,0.00,0.00
0:02:41,0,0.04,0.00,0.02,0.00,0.01,0.90,0.03
0:02:41,1,0.00,0.00,0.00,0.99,0.00,0.00,0.00
0:02:42,0,0.02,0.00,0.01,0.00,0.01,0.93,0.03
0:02:42,1,0.00,0.00,0.00,1.00,0.00,0.00,0.00
0:02:42,2,0.01,0.00,0.02,0.31,0.07,0.00,0.59
0:02:42,0,0.04,0.00,0.04,0.00,0.01,0.89,0.02
0:02:42,1,0.00,0.00,0.00,0.99,0.00,0.00,0.00
0:02:42,2,0.01,0.00,0.00,0.85,0.02,0.00,0.12
0:02:44,0,0.00,0.00,0.00,0.99,0.00,0.00,0.00
0:02:44,1,0.02,0.00,0.01,0.96,0.00,0.01,0.00
0:02:45,0,0.54,0.03,0.08,0.19,0.05,0.10,0.01
0:02:46,0,0.77,0.01,0.10,0.04,0.04,0.03,0.00
0:02:46,1,0.10,0.02,0.19,0.11,0.10,0.11,0.37
0:02:46,0,0.64,0.00,0.02,0.33,0.01,0.00,0.00
0:02:47,0,0.64,0.00,0.12,0.23,0.01,0.00,0.00
0:02:48,0,0.01,0.00,0.01,0.02,0.01,0.00,0.96
0:02:49,0,0.00,0.00,0.00,0.00,0.00,0.00,0.99
0:02:50,0,0.07,0.00,0.17,0.40,0.06,0.25,0.05
0:02:51,0,0.02,0.00,0.08,0.08,0.09,0.24,0.48
